S.NO ,COSTUMER NAME,ITEM PURCHASE,BRAND,PRICE,PHONE NO.,DATE OF PURCASE
1,Siddharth Mishra,television,samsung,42999,8923942743,14-03-2022
2,Abhinav Shetty,Fridge,whirlpool,19999,8752341654,14-03-2022
3,Ritik Shaw,fan,usha,8449,6264529654,15-03-2022
4,Radhika Acharya,microwave,LG,14999,9658458752,15-03-2022
5,Aman Arora,cooler,shyphony,4999,9854672154,15-03-2022
6,Chirag Vyas,television,samsung,42999,8957652548,15-03-2022
7,Raghav Kasote,projector,panasonic,6999,9857456254,16-03-2022
8,Harshad Choudary,fridge,whirlpool,19999,6985755554,16-03-2022
9,Girish Patel,induction,prestige,5149,8754448571,16-03-2022
10,Amrita Parmar,fan,usha,8449,7789544621,17-03-2022
11,Naman Mehta,cctv,panasonic,4500,8946513251,17-03-2022
12,Karishma Kohli,A.C.,bajaj,48999,9517486127,18-03-2022
13,Sristi Patel,microwave,LG,14999,9188815235,18-03-2022
14,Akshat Sisodiya,heater,bajaj,1550,9745254281,18-03-2022
